0 1 2
3 4 5
0 2 6
5 4 7
0 6 8
7 4 9
0 8 10
9 4 11
0 10 12
11 4 13
0 12 14
13 4 15
0 14 16
15 4 17
0 16 18
17 4 19
0 18 20
19 4 21
0 20 22
21 4 23
0 22 24
23 4 25
0 24 26
25 4 27
0 26 28
27 4 29
0 28 30
29 4 31
0 30 32
31 4 33
0 32 34
33 4 35
0 34 36
35 4 37
0 36 38
37 4 39
0 38 40
39 4 41
0 40 42
41 4 43
0 42 44
43 4 45
0 44 46
45 4 47
0 46 48
47 4 49
0 48 50
49 4 51
0 50 52
51 4 53
0 52 54
53 4 55
0 54 56
55 4 57
0 56 58
57 4 59
0 58 60
59 4 61
0 60 62
61 4 63
0 62 64
63 4 65
0 64 1
65 4 3
66 67 68
66 68 69
70 71 72
70 72 73
74 75 76
74 76 77
78 79 80
78 80 81
82 83 84
82 84 85
86 87 88
86 88 89
90 66 69
90 69 91
67 70 73
67 73 68
71 74 77
71 77 72
75 78 81
75 81 76
79 82 85
79 85 80
1 86 89
1 89 2
83 3 5
83 5 84
87 90 91
87 91 88
76 81 92
76 92 93
80 85 94
80 94 95
2 89 96
2 96 6
84 5 7
84 7 97
88 91 98
88 98 99
69 68 100
69 100 101
73 72 102
73 102 103
77 76 93
77 93 104
81 80 95
81 95 92
85 84 97
85 97 94
89 88 99
89 99 96
91 69 101
91 101 98
68 73 103
68 103 100
72 77 104
72 104 102
93 92 105
93 105 106
95 94 107
95 107 108
6 96 109
6 109 8
97 7 9
97 9 110
99 98 111
99 111 112
101 100 113
101 113 114
103 102 115
103 115 116
104 93 106
104 106 117
92 95 108
92 108 105
94 97 110
94 110 107
96 99 112
96 112 109
98 101 114
98 114 111
100 103 116
100 116 113
102 104 117
102 117 115
106 105 118
106 118 119
108 107 120
108 120 121
8 109 122
8 122 10
110 9 11
110 11 123
112 111 124
112 124 125
114 113 126
114 126 127
116 115 128
116 128 129
117 106 119
117 119 130
105 108 121
105 121 118
107 110 123
107 123 120
109 112 125
109 125 122
111 114 127
111 127 124
113 116 129
113 129 126
115 117 130
115 130 128
119 118 131
119 131 132
121 120 133
121 133 134
10 122 135
10 135 12
123 11 13
123 13 136
125 124 137
125 137 138
127 126 139
127 139 140
129 128 141
129 141 142
130 119 132
130 132 143
118 121 134
118 134 131
120 123 136
120 136 133
122 125 138
122 138 135
124 127 140
124 140 137
126 129 142
126 142 139
128 130 143
128 143 141
132 131 144
132 144 145
134 133 146
134 146 147
12 135 148
12 148 14
136 13 15
136 15 149
138 137 150
138 150 151
140 139 152
140 152 153
142 141 154
142 154 155
143 132 145
143 145 156
131 134 147
131 147 144
133 136 149
133 149 146
135 138 151
135 151 148
137 140 153
137 153 150
139 142 155
139 155 152
141 143 156
141 156 154
145 144 157
145 157 158
147 146 159
147 159 160
14 148 161
14 161 16
149 15 17
149 17 162
151 150 163
151 163 164
153 152 165
153 165 166
155 154 167
155 167 168
156 145 158
156 158 169
144 147 160
144 160 157
146 149 162
146 162 159
148 151 164
148 164 161
150 153 166
150 166 163
152 155 168
152 168 165
154 156 169
154 169 167
158 157 170
158 170 171
160 159 172
160 172 173
16 161 174
16 174 18
162 17 19
162 19 175
164 163 176
164 176 177
166 165 178
166 178 179
168 167 180
168 180 181
169 158 171
169 171 182
157 160 173
157 173 170
159 162 175
159 175 172
161 164 177
161 177 174
163 166 179
163 179 176
165 168 181
165 181 178
167 169 182
167 182 180
171 170 183
171 183 184
173 172 185
173 185 186
18 174 187
18 187 20
175 19 21
175 21 188
177 176 189
177 189 190
179 178 191
179 191 192
181 180 193
181 193 194
182 171 184
182 184 195
170 173 186
170 186 183
172 175 188
172 188 185
174 177 190
174 190 187
176 179 192
176 192 189
178 181 194
178 194 191
180 182 195
180 195 193
184 183 196
184 196 197
186 185 198
186 198 199
20 187 200
20 200 22
188 21 23
188 23 201
190 189 202
190 202 203
192 191 204
192 204 205
194 193 206
194 206 207
195 184 197
195 197 208
183 186 199
183 199 196
185 188 201
185 201 198
187 190 203
187 203 200
189 192 205
189 205 202
191 194 207
191 207 204
193 195 208
193 208 206
197 196 209
197 209 210
199 198 211
199 211 212
22 200 213
22 213 24
201 23 25
201 25 214
203 202 215
203 215 216
205 204 217
205 217 218
207 206 219
207 219 220
208 197 210
208 210 221
196 199 212
196 212 209
198 201 214
198 214 211
200 203 216
200 216 213
202 205 218
202 218 215
204 207 220
204 220 217
206 208 221
206 221 219
210 209 222
210 222 223
212 211 224
212 224 225
24 213 226
24 226 26
214 25 27
214 27 227
216 215 228
216 228 229
218 217 230
218 230 231
220 219 232
220 232 233
221 210 223
221 223 234
209 212 225
209 225 222
211 214 227
211 227 224
213 216 229
213 229 226
215 218 231
215 231 228
217 220 233
217 233 230
219 221 234
219 234 232
223 222 235
223 235 236
225 224 237
225 237 238
26 226 239
26 239 28
227 27 29
227 29 240
229 228 241
229 241 242
231 230 243
231 243 244
233 232 245
233 245 246
234 223 236
234 236 247
222 225 238
222 238 235
224 227 240
224 240 237
226 229 242
226 242 239
228 231 244
228 244 241
230 233 246
230 246 243
232 234 247
232 247 245
236 235 248
236 248 249
238 237 250
238 250 251
28 239 252
28 252 30
240 29 31
240 31 253
242 241 254
242 254 255
244 243 256
244 256 257
246 245 258
246 258 259
247 236 249
247 249 260
235 238 251
235 251 248
237 240 253
237 253 250
239 242 255
239 255 252
241 244 257
241 257 254
243 246 259
243 259 256
245 247 260
245 260 258
249 248 261
249 261 262
251 250 263
251 263 264
30 252 265
30 265 32
253 31 33
253 33 266
255 254 267
255 267 268
257 256 269
257 269 270
259 258 271
259 271 272
260 249 262
260 262 273
248 251 264
248 264 261
250 253 266
250 266 263
252 255 268
252 268 265
254 257 270
254 270 267
256 259 272
256 272 269
258 260 273
258 273 271
262 261 274
262 274 275
264 263 276
264 276 277
32 265 278
32 278 34
266 33 35
266 35 279
268 267 280
268 280 281
270 269 282
270 282 283
272 271 284
272 284 285
273 262 275
273 275 286
261 264 277
